ticker,is_benchmark,first_date,last_date,observations,missing_count
SPY,True,2010-01-04,2026-05-29,4126,0
AAPL,False,2010-01-04,2026-05-29,4126,0
ABT,False,2010-01-04,2026-05-29,4126,0
ACN,False,2010-01-04,2026-05-29,4126,0
ADBE,False,2010-01-04,2026-05-29,4126,0
ADI,False,2010-01-04,2026-05-29,4126,0
ADP,False,2010-01-04,2026-05-29,4126,0
AEP,False,2010-01-04,2026-05-29,4126,0
AMAT,False,2010-01-04,2026-05-29,4126,0
AMD,False,2010-01-04,2026-05-29,4126,0
AMGN,False,2010-01-04,2026-05-29,4126,0
AMT,False,2010-01-04,2026-05-29,4126,0
AMZN,False,2010-01-04,2026-05-29,4126,0
AON,False,2010-01-04,2026-05-29,4126,0
APH,False,2010-01-04,2026-05-29,4126,0
AVGO,False,2010-01-04,2026-05-29,4126,0
AXP,False,2010-01-04,2026-05-29,4126,0
BA,False,2010-01-04,2026-05-29,4126,0
BAC,False,2010-01-04,2026-05-29,4126,0
BKNG,False,2010-01-04,2026-05-29,4126,0
BLK,False,2010-01-04,2026-05-29,4126,0
BMY,False,2010-01-04,2026-05-29,4126,0
BNY,False,2010-01-04,2026-05-29,4126,0
BRK-B,False,2010-01-04,2026-05-29,4126,0
BSX,False,2010-01-04,2026-05-29,4126,0
BX,False,2010-01-04,2026-05-29,4126,0
C,False,2010-01-04,2026-05-29,4126,0
CAT,False,2010-01-04,2026-05-29,4126,0
CB,False,2010-01-04,2026-05-29,4126,0
CDNS,False,2010-01-04,2026-05-29,4126,0
CI,False,2010-01-04,2026-05-29,4126,0
CIEN,False,2010-01-04,2026-05-29,4126,0
CL,False,2010-01-04,2026-05-29,4126,0
CMCSA,False,2010-01-04,2026-05-29,4126,0
CME,False,2010-01-04,2026-05-29,4126,0
CMI,False,2010-01-04,2026-05-29,4126,0
COF,False,2010-01-04,2026-05-29,4126,0
COHR,False,2010-01-04,2026-05-29,4126,0
COP,False,2010-01-04,2026-05-29,4126,0
COST,False,2010-01-04,2026-05-29,4126,0
CRH,False,2010-01-04,2026-05-29,4126,0
CRM,False,2010-01-04,2026-05-29,4126,0
CSCO,False,2010-01-04,2026-05-29,4126,0
CSX,False,2010-01-04,2026-05-29,4126,0
CVS,False,2010-01-04,2026-05-29,4126,0
CVX,False,2010-01-04,2026-05-29,4126,0
DE,False,2010-01-04,2026-05-29,4126,0
DHR,False,2010-01-04,2026-05-29,4126,0
DIS,False,2010-01-04,2026-05-29,4126,0
DUK,False,2010-01-04,2026-05-29,4126,0
ELV,False,2010-01-04,2026-05-29,4126,0
EMR,False,2010-01-04,2026-05-29,4126,0
EOG,False,2010-01-04,2026-05-29,4126,0
EQIX,False,2010-01-04,2026-05-29,4126,0
ETN,False,2010-01-04,2026-05-29,4126,0
FCX,False,2010-01-04,2026-05-29,4126,0
FDX,False,2010-01-04,2026-05-29,4126,0
FTNT,False,2010-01-04,2026-05-29,4126,0
GD,False,2010-01-04,2026-05-29,4126,0
GE,False,2010-01-04,2026-05-29,4126,0
GILD,False,2010-01-04,2026-05-29,4126,0
GLW,False,2010-01-04,2026-05-29,4126,0
GOOG,False,2010-01-04,2026-05-29,4126,0
GOOGL,False,2010-01-04,2026-05-29,4126,0
GS,False,2010-01-04,2026-05-29,4126,0
HD,False,2010-01-04,2026-05-29,4126,0
HON,False,2010-01-04,2026-05-29,4126,0
IBM,False,2010-01-04,2026-05-29,4126,0
ICE,False,2010-01-04,2026-05-29,4126,0
INTC,False,2010-01-04,2026-05-29,4126,0
INTU,False,2010-01-04,2026-05-29,4126,0
ISRG,False,2010-01-04,2026-05-29,4126,0
JCI,False,2010-01-04,2026-05-29,4126,0
JNJ,False,2010-01-04,2026-05-29,4126,0
JPM,False,2010-01-04,2026-05-29,4126,0
KLAC,False,2010-01-04,2026-05-29,4126,0
KO,False,2010-01-04,2026-05-29,4126,0
LIN,False,2010-01-04,2026-05-29,4126,0
LLY,False,2010-01-04,2026-05-29,4126,0
LMT,False,2010-01-04,2026-05-29,4126,0
LOW,False,2010-01-04,2026-05-29,4126,0
LRCX,False,2010-01-04,2026-05-29,4126,0
MA,False,2010-01-04,2026-05-29,4126,0
MAR,False,2010-01-04,2026-05-29,4126,0
MCD,False,2010-01-04,2026-05-29,4126,0
MCK,False,2010-01-04,2026-05-29,4126,0
MCO,False,2010-01-04,2026-05-29,4126,0
MDLZ,False,2010-01-04,2026-05-29,4126,0
MDT,False,2010-01-04,2026-05-29,4126,0
MMM,False,2010-01-04,2026-05-29,4126,0
MO,False,2010-01-04,2026-05-29,4126,0
MPWR,False,2010-01-04,2026-05-29,4126,0
MRK,False,2010-01-04,2026-05-29,4126,0
MRSH,False,2010-01-04,2026-05-29,4126,0
MS,False,2010-01-04,2026-05-29,4126,0
MSFT,False,2010-01-04,2026-05-29,4126,0
MSI,False,2010-01-04,2026-05-29,4126,0
MU,False,2010-01-04,2026-05-29,4126,0
NEE,False,2010-01-04,2026-05-29,4126,0
NEM,False,2010-01-04,2026-05-29,4126,0
NFLX,False,2010-01-04,2026-05-29,4126,0
NOC,False,2010-01-04,2026-05-29,4126,0
NSC,False,2010-01-04,2026-05-29,4126,0
NVDA,False,2010-01-04,2026-05-29,4126,0
ORCL,False,2010-01-04,2026-05-29,4126,0
ORLY,False,2010-01-04,2026-05-29,4126,0
PEP,False,2010-01-04,2026-05-29,4126,0
PFE,False,2010-01-04,2026-05-29,4126,0
PG,False,2010-01-04,2026-05-29,4126,0
PGR,False,2010-01-04,2026-05-29,4126,0
PH,False,2010-01-04,2026-05-29,4126,0
PLD,False,2010-01-04,2026-05-29,4126,0
PM,False,2010-01-04,2026-05-29,4126,0
PNC,False,2010-01-04,2026-05-29,4126,0
PWR,False,2010-01-04,2026-05-29,4126,0
QCOM,False,2010-01-04,2026-05-29,4126,0
RCL,False,2010-01-04,2026-05-29,4126,0
ROST,False,2010-01-04,2026-05-29,4126,0
RTX,False,2010-01-04,2026-05-29,4126,0
SBUX,False,2010-01-04,2026-05-29,4126,0
SCHW,False,2010-01-04,2026-05-29,4126,0
SHW,False,2010-01-04,2026-05-29,4126,0
SLB,False,2010-01-04,2026-05-29,4126,0
SNPS,False,2010-01-04,2026-05-29,4126,0
SO,False,2010-01-04,2026-05-29,4126,0
SPGI,False,2010-01-04,2026-05-29,4126,0
STX,False,2010-01-04,2026-05-29,4126,0
SYK,False,2010-01-04,2026-05-29,4126,0
T,False,2010-01-04,2026-05-29,4126,0
TDG,False,2010-01-04,2026-05-29,4126,0
TJX,False,2010-01-04,2026-05-29,4126,0
TMO,False,2010-01-04,2026-05-29,4126,0
TMUS,False,2010-01-04,2026-05-29,4126,0
TT,False,2010-01-04,2026-05-29,4126,0
TXN,False,2010-01-04,2026-05-29,4126,0
UNH,False,2010-01-04,2026-05-29,4126,0
UNP,False,2010-01-04,2026-05-29,4126,0
UPS,False,2010-01-04,2026-05-29,4126,0
USB,False,2010-01-04,2026-05-29,4126,0
