,annual_return,annual_volatility,sharpe,max_drawdown,cumulative_return,support_size,vol_multiplier,strategy
5,0.28765507830311,0.229107764506772,1.2555448695611862,-0.298318267676723,53.27144475776161,10.0,1.2,k=10|vol=1.20
14,0.2867497317604222,0.22907130425947478,1.2517924612487192,-0.2983182691036971,52.671763442260236,30.0,1.2,k=30|vol=1.20
8,0.2867496370108662,0.22907130477048926,1.2517920448314812,-0.2983182673572824,52.67170100837499,15.0,1.2,k=15|vol=1.20
11,0.2867078928971303,0.22907224531833575,1.2516046738822495,-0.2983182675983984,52.644200929029644,20.0,1.2,k=20|vol=1.20
3,0.20681840446531852,0.16690104966014635,1.2391677876589404,-0.3062957065047218,18.48713640068875,10.0,0.8,k=10|vol=0.80
12,0.20147121584311733,0.1666394218199673,1.2090249332524772,-0.3070572314068105,17.166926667119288,30.0,0.8,k=30|vol=0.80
9,0.20144277732711702,0.1666706088832938,1.2086280759205206,-0.30705722315273853,17.160134777742066,20.0,0.8,k=20|vol=0.80
6,0.2012727073545708,0.16676877161036838,1.2068968633097328,-0.30705723499586024,17.11956707080716,15.0,0.8,k=15|vol=0.80
2,0.27636646313844615,0.23015512948718722,1.2007834183588402,-0.30080046082924106,46.22356310425774,5.0,1.2,k=5|vol=1.20
13,0.2349132338161899,0.198440886419567,1.1837945196410218,-0.2907772063263755,27.03093889009307,30.0,1.0,k=30|vol=1.00
10,0.2348541963424613,0.19844324402262706,1.1834829525145365,-0.2907772127035617,27.00977638906315,20.0,1.0,k=20|vol=1.00
7,0.2345832515066939,0.19843995136054843,1.1821372153053806,-0.29078039192785154,26.91284563808486,15.0,1.0,k=15|vol=1.00
4,0.23477135523855508,0.19862557359599936,1.1819794953296172,-0.29077720814307095,26.98010649996057,10.0,1.0,k=10|vol=1.00
1,0.23132094907872824,0.2009753112539505,1.1509918687795104,-0.3109673268796992,25.77015409504471,5.0,1.0,k=5|vol=1.00
0,0.18738243738038873,0.17066917882628635,1.0979278078739325,-0.32822833974445276,14.078363701953396,5.0,0.8,k=5|vol=0.80
SPY,0.14992964904089212,0.16999233041707093,0.8819789026542807,-0.33717253344371845,8.087860192271249,,,
