ticker,weight,strategy,rebalance_date,dense_expected_return,sparse_expected_return
AME,0.05,k=30|vol=0.80,2010-07-30,0.0004201783482425669,0.0004201783482425668
BDX,0.05,k=30|vol=0.80,2010-07-30,0.0004201783482425669,0.0004201783482425668
BALL,0.05,k=30|vol=0.80,2010-07-30,0.0004201783482425669,0.0004201783482425668
AZO,0.05,k=30|vol=0.80,2010-07-30,0.0004201783482425669,0.0004201783482425668
AWK,0.05,k=30|vol=0.80,2010-07-30,0.0004201783482425669,0.0004201783482425668
ATO,0.05,k=30|vol=0.80,2010-07-30,0.0004201783482425669,0.0004201783482425668
BF-B,0.05,k=30|vol=0.80,2010-07-30,0.0004201783482425669,0.0004201783482425668
ABT,0.05,k=30|vol=0.80,2010-07-30,0.0004201783482425669,0.0004201783482425668
BMY,0.05,k=30|vol=0.80,2010-07-30,0.0004201783482425669,0.0004201783482425668
BAX,0.05,k=30|vol=0.80,2010-07-30,0.0004201783482425669,0.0004201783482425668
AJG,0.05,k=30|vol=0.80,2010-07-30,0.0004201783482425669,0.0004201783482425668
AEP,0.05,k=30|vol=0.80,2010-07-30,0.0004201783482425669,0.0004201783482425668
AEE,0.05,k=30|vol=0.80,2010-07-30,0.0004201783482425669,0.0004201783482425668
BR,0.05,k=30|vol=0.80,2010-07-30,0.0004201783482425669,0.0004201783482425668
ACGL,0.05,k=30|vol=0.80,2010-07-30,0.0004201783482425669,0.0004201783482425668
ADP,0.04999999999999999,k=30|vol=0.80,2010-07-30,0.0004201783482425669,0.0004201783482425668
AMGN,0.044435146368280706,k=30|vol=0.80,2010-07-30,0.0004201783482425669,0.0004201783482425668
ACN,0.03779658874208583,k=30|vol=0.80,2010-07-30,0.0004201783482425669,0.0004201783482425668
AAPL,0.029847733828324268,k=30|vol=0.80,2010-07-30,0.0004201783482425669,0.0004201783482425668
AON,0.025465723198944495,k=30|vol=0.80,2010-07-30,0.0004201783482425669,0.0004201783482425668
BRK-B,0.019109802092034604,k=30|vol=0.80,2010-07-30,0.0004201783482425669,0.0004201783482425668
BIIB,0.017760469654496302,k=30|vol=0.80,2010-07-30,0.0004201783482425669,0.0004201783482425668
AMT,0.012238278923742277,k=30|vol=0.80,2010-07-30,0.0004201783482425669,0.0004201783482425668
ADM,0.011278849282205065,k=30|vol=0.80,2010-07-30,0.0004201783482425669,0.0004201783482425668
AOS,0.002067407909886252,k=30|vol=0.80,2010-07-30,0.0004201783482425669,0.0004201783482425668
BRK-B,0.05,k=30|vol=0.80,2010-08-31,0.00044841524673398987,0.0004484152467339898
BF-B,0.05,k=30|vol=0.80,2010-08-31,0.00044841524673398987,0.0004484152467339898
BALL,0.05,k=30|vol=0.80,2010-08-31,0.00044841524673398987,0.0004484152467339898
AZO,0.05,k=30|vol=0.80,2010-08-31,0.00044841524673398987,0.0004484152467339898
AWK,0.05,k=30|vol=0.80,2010-08-31,0.00044841524673398987,0.0004484152467339898
ATO,0.05,k=30|vol=0.80,2010-08-31,0.00044841524673398987,0.0004484152467339898
ABT,0.05,k=30|vol=0.80,2010-08-31,0.00044841524673398987,0.0004484152467339898
AMT,0.05,k=30|vol=0.80,2010-08-31,0.00044841524673398987,0.0004484152467339898
BMY,0.05,k=30|vol=0.80,2010-08-31,0.00044841524673398987,0.0004484152467339898
AME,0.05,k=30|vol=0.80,2010-08-31,0.00044841524673398987,0.0004484152467339898
BR,0.05,k=30|vol=0.80,2010-08-31,0.00044841524673398987,0.0004484152467339898
AJG,0.05,k=30|vol=0.80,2010-08-31,0.00044841524673398987,0.0004484152467339898
AEP,0.05,k=30|vol=0.80,2010-08-31,0.00044841524673398987,0.0004484152467339898
AEE,0.05,k=30|vol=0.80,2010-08-31,0.00044841524673398987,0.0004484152467339898
ADP,0.05,k=30|vol=0.80,2010-08-31,0.00044841524673398987,0.0004484152467339898
ADM,0.05,k=30|vol=0.80,2010-08-31,0.00044841524673398987,0.0004484152467339898
ACGL,0.05,k=30|vol=0.80,2010-08-31,0.00044841524673398987,0.0004484152467339898
BDX,0.05,k=30|vol=0.80,2010-08-31,0.00044841524673398987,0.0004484152467339898
BAX,0.04595573566807332,k=30|vol=0.80,2010-08-31,0.00044841524673398987,0.0004484152467339898
APD,0.03416287585322696,k=30|vol=0.80,2010-08-31,0.00044841524673398987,0.0004484152467339898
AAPL,0.008144479159205341,k=30|vol=0.80,2010-08-31,0.00044841524673398987,0.0004484152467339898
BIIB,0.005675070178750415,k=30|vol=0.80,2010-08-31,0.00044841524673398987,0.0004484152467339898
AMGN,0.00363119389308874,k=30|vol=0.80,2010-08-31,0.00044841524673398987,0.0004484152467339898
AKAM,0.002430645247654968,k=30|vol=0.80,2010-08-31,0.00044841524673398987,0.0004484152467339898
AAPL,0.05,k=30|vol=0.80,2010-09-30,0.001367293421343927,0.0013672934213439267
AJG,0.05,k=30|vol=0.80,2010-09-30,0.001367293421343927,0.0013672934213439267
BMY,0.05,k=30|vol=0.80,2010-09-30,0.001367293421343927,0.0013672934213439267
BDX,0.05,k=30|vol=0.80,2010-09-30,0.001367293421343927,0.0013672934213439267
AZO,0.05,k=30|vol=0.80,2010-09-30,0.001367293421343927,0.0013672934213439267
AMT,0.05,k=30|vol=0.80,2010-09-30,0.001367293421343927,0.0013672934213439267
AME,0.05,k=30|vol=0.80,2010-09-30,0.001367293421343927,0.0013672934213439267
APD,0.05,k=30|vol=0.80,2010-09-30,0.001367293421343927,0.0013672934213439267
AEP,0.05,k=30|vol=0.80,2010-09-30,0.001367293421343927,0.0013672934213439267
AEE,0.05,k=30|vol=0.80,2010-09-30,0.001367293421343927,0.0013672934213439267
ADM,0.05,k=30|vol=0.80,2010-09-30,0.001367293421343927,0.0013672934213439267
ACGL,0.05,k=30|vol=0.80,2010-09-30,0.001367293421343927,0.0013672934213439267
BR,0.05,k=30|vol=0.80,2010-09-30,0.001367293421343927,0.0013672934213439267
ABT,0.04999999999999999,k=30|vol=0.80,2010-09-30,0.001367293421343927,0.0013672934213439267
AWK,0.04999999999999999,k=30|vol=0.80,2010-09-30,0.001367293421343927,0.0013672934213439267
BF-B,0.04999999999999999,k=30|vol=0.80,2010-09-30,0.001367293421343927,0.0013672934213439267
ACN,0.04293079676056651,k=30|vol=0.80,2010-09-30,0.001367293421343927,0.0013672934213439267
BALL,0.04106520748952371,k=30|vol=0.80,2010-09-30,0.001367293421343927,0.0013672934213439267
BKNG,0.037866803543441505,k=30|vol=0.80,2010-09-30,0.001367293421343927,0.0013672934213439267
AKAM,0.03392328369412833,k=30|vol=0.80,2010-09-30,0.001367293421343927,0.0013672934213439267
ATO,0.026633196765033448,k=30|vol=0.80,2010-09-30,0.001367293421343927,0.0013672934213439267
BAX,0.017580711747306296,k=30|vol=0.80,2010-09-30,0.001367293421343927,0.0013672934213439267
AAPL,0.05000000000000001,k=30|vol=0.80,2010-10-29,0.0016487859840149486,0.0016487859840149486
AJG,0.05000000000000001,k=30|vol=0.80,2010-10-29,0.0016487859840149486,0.0016487859840149486
AZO,0.05000000000000001,k=30|vol=0.80,2010-10-29,0.0016487859840149486,0.0016487859840149486
AWK,0.05000000000000001,k=30|vol=0.80,2010-10-29,0.0016487859840149486,0.0016487859840149486
BKNG,0.05000000000000001,k=30|vol=0.80,2010-10-29,0.0016487859840149486,0.0016487859840149486
AME,0.05000000000000001,k=30|vol=0.80,2010-10-29,0.0016487859840149486,0.0016487859840149486
BIIB,0.05000000000000001,k=30|vol=0.80,2010-10-29,0.0016487859840149486,0.0016487859840149486
BAX,0.05000000000000001,k=30|vol=0.80,2010-10-29,0.0016487859840149486,0.0016487859840149486
AEP,0.05000000000000001,k=30|vol=0.80,2010-10-29,0.0016487859840149486,0.0016487859840149486
AEE,0.05000000000000001,k=30|vol=0.80,2010-10-29,0.0016487859840149486,0.0016487859840149486
BMY,0.05000000000000001,k=30|vol=0.80,2010-10-29,0.0016487859840149486,0.0016487859840149486
ADM,0.05000000000000001,k=30|vol=0.80,2010-10-29,0.0016487859840149486,0.0016487859840149486
ACGL,0.05000000000000001,k=30|vol=0.80,2010-10-29,0.0016487859840149486,0.0016487859840149486
ACN,0.05,k=30|vol=0.80,2010-10-29,0.0016487859840149486,0.0016487859840149486
BALL,0.05,k=30|vol=0.80,2010-10-29,0.0016487859840149486,0.0016487859840149486
ABT,0.04999999999999997,k=30|vol=0.80,2010-10-29,0.0016487859840149486,0.0016487859840149486
APD,0.040297582031844026,k=30|vol=0.80,2010-10-29,0.0016487859840149486,0.0016487859840149486
AKAM,0.03866213993880005,k=30|vol=0.80,2010-10-29,0.0016487859840149486,0.0016487859840149486
AMT,0.03766570369605291,k=30|vol=0.80,2010-10-29,0.0016487859840149486,0.0016487859840149486
AVGO,0.03326488040975937,k=30|vol=0.80,2010-10-29,0.0016487859840149486,0.0016487859840149486
ADP,0.0302508895507663,k=30|vol=0.80,2010-10-29,0.0016487859840149486,0.0016487859840149486
BF-B,0.011471196799243282,k=30|vol=0.80,2010-10-29,0.0016487859840149486,0.0016487859840149486
BR,0.008387607573533948,k=30|vol=0.80,2010-10-29,0.0016487859840149486,0.0016487859840149486
AAPL,0.05000000000000001,k=30|vol=0.80,2010-11-30,0.0015593342847774814,0.0015593342847774819
ACGL,0.05000000000000001,k=30|vol=0.80,2010-11-30,0.0015593342847774814,0.0015593342847774819
BKNG,0.05000000000000001,k=30|vol=0.80,2010-11-30,0.0015593342847774814,0.0015593342847774819
BIIB,0.05000000000000001,k=30|vol=0.80,2010-11-30,0.0015593342847774814,0.0015593342847774819
BF-B,0.05000000000000001,k=30|vol=0.80,2010-11-30,0.0015593342847774814,0.0015593342847774819
BDX,0.05000000000000001,k=30|vol=0.80,2010-11-30,0.0015593342847774814,0.0015593342847774819
BALL,0.05000000000000001,k=30|vol=0.80,2010-11-30,0.0015593342847774814,0.0015593342847774819
AZO,0.05000000000000001,k=30|vol=0.80,2010-11-30,0.0015593342847774814,0.0015593342847774819
AWK,0.05000000000000001,k=30|vol=0.80,2010-11-30,0.0015593342847774814,0.0015593342847774819
AVGO,0.05000000000000001,k=30|vol=0.80,2010-11-30,0.0015593342847774814,0.0015593342847774819
ATO,0.05000000000000001,k=30|vol=0.80,2010-11-30,0.0015593342847774814,0.0015593342847774819
APD,0.05000000000000001,k=30|vol=0.80,2010-11-30,0.0015593342847774814,0.0015593342847774819
AME,0.05000000000000001,k=30|vol=0.80,2010-11-30,0.0015593342847774814,0.0015593342847774819
AJG,0.05000000000000001,k=30|vol=0.80,2010-11-30,0.0015593342847774814,0.0015593342847774819
AEE,0.05000000000000001,k=30|vol=0.80,2010-11-30,0.0015593342847774814,0.0015593342847774819
AEP,0.05,k=30|vol=0.80,2010-11-30,0.0015593342847774814,0.0015593342847774819
ACN,0.049999999999999975,k=30|vol=0.80,2010-11-30,0.0015593342847774814,0.0015593342847774819
BMY,0.04999999999999996,k=30|vol=0.80,2010-11-30,0.0015593342847774814,0.0015593342847774819
AKAM,0.03522160811212935,k=30|vol=0.80,2010-11-30,0.0015593342847774814,0.0015593342847774819
AMZN,0.03505430608270788,k=30|vol=0.80,2010-11-30,0.0015593342847774814,0.0015593342847774819
ADP,0.02400741195890694,k=30|vol=0.80,2010-11-30,0.0015593342847774814,0.0015593342847774819
AOS,0.005716673846255806,k=30|vol=0.80,2010-11-30,0.0015593342847774814,0.0015593342847774819
AAPL,0.05,k=30|vol=0.80,2010-12-31,0.0018250639934936862,0.0018250639934936862
APD,0.05,k=30|vol=0.80,2010-12-31,0.0018250639934936862,0.0018250639934936862
BKNG,0.05,k=30|vol=0.80,2010-12-31,0.0018250639934936862,0.0018250639934936862
BIIB,0.05,k=30|vol=0.80,2010-12-31,0.0018250639934936862,0.0018250639934936862
BF-B,0.05,k=30|vol=0.80,2010-12-31,0.0018250639934936862,0.0018250639934936862
BDX,0.05,k=30|vol=0.80,2010-12-31,0.0018250639934936862,0.0018250639934936862
BALL,0.05,k=30|vol=0.80,2010-12-31,0.0018250639934936862,0.0018250639934936862
AZO,0.05,k=30|vol=0.80,2010-12-31,0.0018250639934936862,0.0018250639934936862
AWK,0.05,k=30|vol=0.80,2010-12-31,0.0018250639934936862,0.0018250639934936862
AVGO,0.05,k=30|vol=0.80,2010-12-31,0.0018250639934936862,0.0018250639934936862
